	ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
291	SPO-SPSG-SRF-20-180-00_bin-178	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
292	SPO-PEOD-DCM-20-180-00_bin-4	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-PEOD	DCM	20-180-00
293	IO-all-SRF-20-180-00_bin-131		Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Rhabdonellidae	Schmidingerella	Schmidingerella taraikaensis	IO-all	SRF	20-180-00
294	SAO-all-SRF-0-8-5-00_bin-583		Sar	Bacillariophyta	Dictyochophyceae		Pedinellales		Florenciella	Pteridomonas danica	SAO-all	SRF	0-8-5-00
295	SPO-SPSG-SRF-0-8-5-00_bin-290		Sar	Bacillariophyta	Dictyochophyceae		Pedinellales		Florenciella	Pteridomonas danica	SPO-SPSG	SRF	0-8-5-00
296	NAO-all-MIX-0-8-5-00_bin-192		Sar	Bacillariophyta	Dictyochophyceae		Florenciellales		Florenciella		NAO-all	MIX	0-8-5-00
297	SPO-all-SRF-0-8-5-00_bin-226				Cryptophyceae		Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SPO-all	SRF	0-8-5-00
298	SPO-all-SRF-0-8-5-00_bin-835		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-all	SRF	0-8-5-00
299	NAO-all-DCM-20-180-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	DCM	20-180-00
300	IO-all-SRF-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
301	NAO-all-SRF-0-8-5-00_bin-300		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	NAO-all	SRF	0-8-5-00
302	MS-all-SRF-0-8-5-00_bin-318		Sar	Bacillariophyta	Coscinodiscophyceae						MS-all	SRF	0-8-5-00
303	NAO-all-MIX-0-8-5-00_bin-275		Sar	Bacillariophyta	Bolidophyceae		Parmales	Triparmaceae	Bolidomonas	Triparma pacifica	NAO-all	MIX	0-8-5-00
304	NAO-all-MIX-20-180-00_bin-57	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	MIX	20-180-00
305	SPO-all-SRF-180-2000-00_bin-31	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
306	NAO-all-MIX-20-180-00_bin-20	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	MIX	20-180-00
307	NAO-all-SRF-180-2000-00_bin-81	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	SRF	180-2000-00
308	IO-all-DCM-20-180-00_bin-62	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	IO-all	DCM	20-180-00
309	IO-all-SRF-180-2000-00_bin-96	Metazoa	Opisthokonta	Chordata	Aves						IO-all	SRF	180-2000-00
310	SO-all-DCM-0-8-5-00_bin-52		Sar	Bacillariophyta	Bacillariophyceae		Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis cylindrus	SO-all	DCM	0-8-5-00
311	SAO-all-DCM-20-180-00_bin-30	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SAO-all	DCM	20-180-00
312	MS-all-DCM-0-8-5-00_bin-224		Sar	Bacillariophyta	Coscinodiscophyceae						MS-all	DCM	0-8-5-00
313	IO-all-SRF-20-180-00_bin-53	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
314	SAO-all-SRF-0-8-5-00_bin-71		Sar	Bacillariophyta	Mediophyceae	Cymatosirophycidae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus	SAO-all	SRF	0-8-5-00
315	NAO-all-SRF-0-8-5-00_bin-307		Sar	Bacillariophyta	Dictyochophyceae		Florenciellales		Florenciella	Florenciella parvula	NAO-all	SRF	0-8-5-00
316	SAO-all-SRF-20-180-00_bin-71	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	SRF	20-180-00
317	SPO-all-SRF-20-180-00_bin-134		Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Rhabdonellidae	Schmidingerella	Schmidingerella taraikaensis	SPO-all	SRF	20-180-00
318	SPO-all-SRF-0-8-5-00_bin-838		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium	Lingulodinium polyedra	SPO-all	SRF	0-8-5-00
319	IO-all-DCM-0-8-5-00_bin-230		Sar	Bacillariophyta	Coscinodiscophyceae						IO-all	DCM	0-8-5-00
320	SAO-all-DCM-0-8-5-00_bin-218	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SAO-all	DCM	0-8-5-00
321	MS-all-DCM-0-8-5-00_bin-323	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda	MS-all	DCM	0-8-5-00
322	NAO-all-DCM-5-20-00_bin-6	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	DCM	5-20-00
323	SPO-SPSG-SRF-20-180-00_bin-26	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Tephritidae	Rhagoletis	Rhagoletis zephyria	SPO-SPSG	SRF	20-180-00
324	SAO-all-DCM-0-8-5-00_bin-43	Viridiplantae		Chlorophyta				Pycnococcaceae	Pycnococcus		SAO-all	DCM	0-8-5-00
325	SPO-SPSG-SRF-180-2000-00_bin-35	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	180-2000-00
326	SAO-all-DCM-0-8-5-00_bin-182				Cryptophyceae		Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SAO-all	DCM	0-8-5-00
327	IO-all-SRF-0-8-5-00_bin-548		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	IO-all	SRF	0-8-5-00
328	SPO-all-SRF-0-8-5-00_bin-716		Sar	Bacillariophyta	Coscinodiscophyceae						SPO-all	SRF	0-8-5-00
329	SPO-all-SRF-0-8-5-00_bin-761	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SPO-all	SRF	0-8-5-00
330	IO-all-SRF-5-20-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	5-20-00
331	SPO-PEOD-DCM-20-180-00_bin-9	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-PEOD	DCM	20-180-00
332	MS-all-SRF-0-8-5-00_bin-426		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	MS-all	SRF	0-8-5-00
333	SPO-SPSG-SRF-0-8-5-00_bin-374		Prymnesiophyceae	Haptista	Haptophyta		Isochrysidales	Isochrysidaceae	Isochrysis	Chrysotila carterae	SPO-SPSG	SRF	0-8-5-00
334	SAO-all-DCM-0-8-5-00_bin-556		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SAO-all	DCM	0-8-5-00
335	IO-all-SRF-0-8-5-00_bin-105		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	IO-all	SRF	0-8-5-00
336	NAO-all-SRF-20-180-00_bin-67	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	Formicidae			NAO-all	SRF	20-180-00
337	SAO-all-SRF-0-8-5-00_bin-49		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Haptolina brevifila	SAO-all	SRF	0-8-5-00
338	SPO-PEOD-DCM-0-8-5-00_bin-80	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SPO-PEOD	DCM	0-8-5-00
339	SAO-all-SRF-0-8-5-00_bin-366		Prymnesiophyceae	Haptista	Haptophyta		Isochrysidales	Isochrysidaceae	Isochrysis	Chrysotila carterae	SAO-all	SRF	0-8-5-00
340	SPO-SPSG-SRF-0-8-5-00_bin-578		Sar	Bacillariophyta	Coscinodiscophyceae						SPO-SPSG	SRF	0-8-5-00
341	IO-all-SRF-180-2000-00_bin-30	Metazoa	Opisthokonta	Chordata	Aves						IO-all	SRF	180-2000-00
342	RS-all-SRF-20-180-00_bin-30	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	RS-all	SRF	20-180-00
343	SPO-all-SRF-180-2000-00_bin-279		Sar	Bacillariophyta	Coscinodiscophyceae	Chaetocerotophycidae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros cf. neogracilis	SPO-all	SRF	180-2000-00
344	IO-all-MES-0-8-5-00_bin-188	Fungi	Opisthokonta	Ascomycota	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Acremonium	Acremonium chrysogenum	IO-all	MES	0-8-5-00
345	MS-all-DCM-0-8-5-00_bin-366		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	MS-all	DCM	0-8-5-00
346	SO-all-SRF-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SO-all	SRF	20-180-00
347	SAO-all-DCM-0-8-5-00_bin-350		Sar	Bacillariophyta	Coscinodiscophyceae	Coscinodiscophycidae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris	SAO-all	DCM	0-8-5-00
348	NPO-all-SRF-0-8-5-00_bin-490		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	NPO-all	SRF	0-8-5-00
349	IO-all-DCM-20-180-00_bin-57	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	IO-all	DCM	20-180-00
350	NPO-all-SRF-5-20-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	5-20-00
351	SPO-all-SRF-0-8-5-00_bin-907		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SPO-all	SRF	0-8-5-00
352	SPO-SPSG-SRF-180-2000-00_bin-137	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	180-2000-00
353	SPO-all-SRF-180-2000-00_bin-73	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	Formicidae	Lasius	Lasius niger	SPO-all	SRF	180-2000-00
354	SAO-all-SRF-0-8-5-00_bin-34		Sar	Bacillariophyta	Chrysophyceae		Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	SAO-all	SRF	0-8-5-00
355	IO-all-SRF-5-20-00_bin-71	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				IO-all	SRF	5-20-00
356	MS-all-SRF-0-8-5-00_bin-123	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	MS-all	SRF	0-8-5-00
357	SPO-all-SRF-5-20-00_bin-152	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera				SPO-all	SRF	5-20-00
358	SPO-SPSG-DCM-5-20-00_bin-1	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae		Chlorodendrales	Chlorodendraceae	Picochlorum		SPO-SPSG	DCM	5-20-00
359	SPO-SPSG-SRF-20-180-00_bin-69	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
360	MS-all-SRF-0-8-5-00_bin-580		Prymnesiophyceae	Haptista	Haptophyta		Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	MS-all	SRF	0-8-5-00
361	NPO-all-DCM-0-8-5-00_bin-298	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Mamiellaceae	Micromonas	Dolichomastix tenuilepis	NPO-all	DCM	0-8-5-00
362	SPO-SPSG-SRF-20-180-00_bin-130	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	20-180-00
363	IO-all-FSW-0-8-5-00_bin-83	Viridiplantae	core chlorophytes	Chlorophyta	Chlorodendrophyceae		Chlorodendrales	Chlorodendraceae	Tetraselmis	Tetraselmis striata	IO-all	FSW	0-8-5-00
364	NAO-all-MIX-180-2000-00_bin-9	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	MIX	180-2000-00
365	MS-all-SRF-0-8-5-00_bin-298	Viridiplantae	core chlorophytes	Chlorophyta	Chlorophyceae		Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas		MS-all	SRF	0-8-5-00
366	MS-all-SRF-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				MS-all	SRF	20-180-00
367	SPO-all-SRF-20-180-00_bin-127	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	20-180-00
368	IO-all-SRF-0-8-5-00_bin-312		Sar	Bacillariophyta	Coscinodiscophyceae						IO-all	SRF	0-8-5-00
369	IO-all-SRF-20-180-00_bin-40	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
370	IO-all-DCM-0-8-5-00_bin-353	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	IO-all	DCM	0-8-5-00
371	MS-all-DCM-20-180-00_bin-15	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	MS-all	DCM	20-180-00
372	SO-all-DCM-0-8-5-00_bin-41		Sar	Bacillariophyta	Coscinodiscophyceae						SO-all	DCM	0-8-5-00
373	SO-all-DCM-0-8-5-00_bin-36		Sar	Bacillariophyta	Coscinodiscophyceae						SO-all	DCM	0-8-5-00
374	SAO-all-DCM-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	DCM	20-180-00
375	NAO-all-MIX-0-8-5-00_bin-168		Sar	Bacillariophyta	Coscinodiscophyceae						NAO-all	MIX	0-8-5-00
376	NAO-all-SRF-0-8-5-00_bin-167		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	NAO-all	SRF	0-8-5-00
377	NAO-all-DCM-0-8-5-00_bin-38		Sar		Dinophyceae		Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp.	NAO-all	DCM	0-8-5-00
378	SPO-SPSG-SRF-20-180-00_bin-188	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	20-180-00
379	SPO-all-SRF-180-2000-00_bin-151	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	180-2000-00
380	SAO-all-MES-0-8-5-00_bin-99	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SAO-all	MES	0-8-5-00
381	SAO-all-DCM-0-8-5-00_bin-191		Sar		Bigyra	Labyrinthulomycetes	Thraustochytrida	Thraustochytriaceae	Aplanochytrium	Aplanochytrium stocchinoi	SAO-all	DCM	0-8-5-00
382	IO-all-DCM-5-20-00_bin-2		Sar	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Conticribra weissflogii	IO-all	DCM	5-20-00
383	IO-all-DCM-0-8-5-00_bin-120	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda	IO-all	DCM	0-8-5-00
384	IO-all-DCM-0-8-5-00_bin-157		Sar	Bacillariophyta	Coscinodiscophyceae						IO-all	DCM	0-8-5-00
385	SPO-SPSG-SRF-0-8-5-00_bin-217		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-SPSG	SRF	0-8-5-00
386	SO-all-SRF-0-8-5-00_bin-97		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SO-all	SRF	0-8-5-00
387	NPO-all-SRF-20-180-00_bin-43	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NPO-all	SRF	20-180-00
388	SPO-all-SRF-180-2000-00_bin-17	Metazoa	Opisthokonta	Arthropoda	Branchiopoda	Phyllopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulex	SPO-all	SRF	180-2000-00
389	RS-all-SRF-20-180-00_bin-29	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				RS-all	SRF	20-180-00
390	SPO-all-SRF-0-8-5-00_bin-880		Prymnesiophyceae	Haptista	Haptophyta		Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-all	SRF	0-8-5-00
391	NAO-all-SRF-180-2000-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae			NAO-all	SRF	180-2000-00
392	SAO-all-DCM-20-180-00_bin-11	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SAO-all	DCM	20-180-00
393	SPO-all-SRF-0-8-5-00_bin-449		Amoebozoa	Discosea	Flabellinia		Longamoebia	Vannellidae	Vannella	Acanthamoeba castellanii	SPO-all	SRF	0-8-5-00
394	IO-all-SRF-0-8-5-00_bin-250	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	IO-all	SRF	0-8-5-00
395	SPO-SPSG-SRF-180-2000-00_bin-159	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	180-2000-00
396	NPO-all-MES-0-8-5-00_bin-101		Sar		Bigyra	Labyrinthulomycetes	Bicosoecida	Cafeteriaceae	Cafeteria	Cafeteria roenbergensis	NPO-all	MES	0-8-5-00
397	NPO-all-DCM-20-180-00_bin-47	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	DCM	20-180-00
398	SPO-SPSG-SRF-180-2000-00_bin-69	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	180-2000-00
399	SPO-all-SRF-0-8-5-00_bin-394		Sar		Dinophyceae		Gymnodiniales	Kareniaceae	Karenia	Karenia brevis	SPO-all	SRF	0-8-5-00
400	SAO-all-SRF-0-8-5-00_bin-195		Sar	Bacillariophyta	Dictyochophyceae		Florenciellales		Florenciella	Florenciella parvula	SAO-all	SRF	0-8-5-00
401	SPO-SPSG-SRF-20-180-00_bin-94	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera				SPO-SPSG	SRF	20-180-00
402	SAO-all-SRF-0-8-5-00_bin-171	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SAO-all	SRF	0-8-5-00
403	NPO-all-SRF-180-2000-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	180-2000-00
404	SPO-all-SRF-0-8-5-00_bin-737		Sar	Bacillariophyta	Dictyochophyceae		Pedinellales		Florenciella	Florenciella parvula	SPO-all	SRF	0-8-5-00
405	SPO-SPSG-SRF-20-180-00_bin-129	Metazoa	Opisthokonta	Chordata	Aves						SPO-SPSG	SRF	20-180-00
406	SO-all-DCM-180-2000-00_bin-14	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SO-all	DCM	180-2000-00
407	SPO-all-SRF-20-180-00_bin-12	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera				SPO-all	SRF	20-180-00
408	SPO-CHIL-SRF-20-180-00_bin-16	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-CHIL	SRF	20-180-00
409	RS-all-SRF-180-2000-00_bin-9	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	RS-all	SRF	180-2000-00
410	IO-all-SRF-5-20-00_bin-121		Sar	Bacillariophyta	Bacillariophyceae		Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium	IO-all	SRF	5-20-00
411	MS-all-DCM-0-8-5-00_bin-10				Cryptophyceae		Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	MS-all	DCM	0-8-5-00
412	SPO-SPSG-SRF-0-8-5-00_bin-658				Cryptophyceae		Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SPO-SPSG	SRF	0-8-5-00
413	SPO-PEOD-SRF-0-8-5-00_bin-91	Viridiplantae		Chlorophyta				Pycnococcaceae	Pycnococcus		SPO-PEOD	SRF	0-8-5-00
414	MS-all-SRF-180-2000-00_bin-8	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	SRF	180-2000-00
415	SPO-SPSG-SRF-20-180-00_bin-164	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
416	NAO-all-SRF-0-8-5-00_bin-528	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	NAO-all	SRF	0-8-5-00
417	SPO-all-DCM-0-8-5-00_bin-206		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SPO-all	DCM	0-8-5-00
418	SAO-all-SRF-0-8-5-00_bin-141		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SAO-all	SRF	0-8-5-00
419	RS-all-SRF-180-2000-00_bin-3	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				RS-all	SRF	180-2000-00
420	NPO-all-SRF-20-180-00_bin-41	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	20-180-00
421	SPO-CHIL-SRF-0-8-5-00_bin-249	Viridiplantae		Chlorophyta	Mamiellophyceae		Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SPO-CHIL	SRF	0-8-5-00
422	SAO-all-DCM-0-8-5-00_bin-440				Cryptophyceae		Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SAO-all	DCM	0-8-5-00
423	NAO-all-MIX-0-8-5-00_bin-117	Metazoa	Opisthokonta	Chordata	Choanoflagellata		Craspedida	Salpingoecidae	Salpingoeca	Salpingoeca rosetta	NAO-all	MIX	0-8-5-00
424	SPO-CHIL-DCM-180-2000-00_bin-3	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota					SPO-CHIL	DCM	180-2000-00
425	MS-all-DCM-20-180-00_bin-84	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				MS-all	DCM	20-180-00
426	SO-all-DCM-0-8-5-00_bin-49		Sar	Bacillariophyta	Coscinodiscophyceae						SO-all	DCM	0-8-5-00
427	RS-all-SRF-20-180-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				RS-all	SRF	20-180-00
428	IO-all-DCM-20-180-00_bin-74	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	DCM	20-180-00
429	SPO-all-SRF-20-180-00_bin-125	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae				Picochlorum		SPO-all	SRF	20-180-00
430	SPO-all-DCM-0-8-5-00_bin-542		Sar	Bacillariophyta	Bolidophyceae	Thalassiosirophycidae	Parmales	Triparmaceae	Bolidomonas	Triparma pacifica	SPO-all	DCM	0-8-5-00
431	NAO-all-SRF-20-180-00_bin-39	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	SRF	20-180-00
432	SPO-all-SRF-20-180-00_bin-158	Metazoa	Opisthokonta	Chordata	Aves						SPO-all	SRF	20-180-00
433	SPO-SPSG-SRF-5-20-00_bin-21	Metazoa	Opisthokonta	Chordata	Aves						SPO-SPSG	SRF	5-20-00
434	SPO-PEOD-MES-0-8-5-00_bin-17	Fungi	Opisthokonta	Ascomycota	Leotiomycetes		Helotiales	Hyaloscyphaceae	Rhynchosporium	Rhynchosporium commune	SPO-PEOD	MES	0-8-5-00
435	IO-all-SRF-0-8-5-00_bin-260		Sar	Bacillariophyta	Coscinodiscophyceae						IO-all	SRF	0-8-5-00
436	NAO-all-SRF-20-180-00_bin-44	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				NAO-all	SRF	20-180-00
437	SO-all-DCM-0-8-5-00_bin-34		Prymnesiophyceae	Haptista	Haptophyta		Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	SO-all	DCM	0-8-5-00
438	NAO-all-SRF-180-2000-00_bin-73	Metazoa	Opisthokonta	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	Crassostrea	Crassostrea virginica	NAO-all	SRF	180-2000-00
439	IO-all-DCM-0-8-5-00_bin-351		Sar	Bacillariophyta	Coscinodiscophyceae						IO-all	DCM	0-8-5-00
440	NPO-all-SRF-5-20-00_bin-47	Metazoa	Opisthokonta	Chordata	Aves						NPO-all	SRF	5-20-00
441	NAO-all-SRF-5-20-00_bin-26	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	NAO-all	SRF	5-20-00
