	ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
182	NAO-all-MIX-0-8-5-00_bin-124				Cryptophyceae		Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	NAO-all	MIX	0-8-5-00
183	SO-all-SRF-5-20-00_bin-55	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Lepidoptera				SO-all	SRF	5-20-00
184	SAO-all-SRF-0-8-5-00_bin-105		Sar		Dinophyceae		Gonyaulacales	Gonyaulacaceae	Alexandrium		SAO-all	SRF	0-8-5-00
185	NPO-all-SRF-0-8-5-00_bin-250			Proteobacteria	Deltaproteobacteria		Myxococcales	Archangiaceae	Myxococcus	Cystobacter fuscus	NPO-all	SRF	0-8-5-00
186	SAO-all-SRF-5-20-00_bin-32	Viridiplantae	Embryophyta	Streptophyta	Magnoliopsida		Fabales	Fabaceae	Trifolium	Trifolium pratense	SAO-all	SRF	5-20-00
187	SPO-SPSG-SRF-20-180-00_bin-97	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SPO-SPSG	SRF	20-180-00
188	SPO-all-SRF-20-180-00_bin-21		Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Oxytrichidae	Schmidingerella	Schmidingerella taraikaensis	SPO-all	SRF	20-180-00
189	NPO-all-SRF-20-180-00_bin-78	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	20-180-00
190	NPO-all-DCM-0-8-5-00_bin-211	Viridiplantae	core chlorophytes	Chlorophyta	Chlorodendrophyceae		Chlorodendrales	Chlorodendraceae	Tetraselmis	Tetraselmis striata	NPO-all	DCM	0-8-5-00
191	NPO-all-DCM-20-180-00_bin-33	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	DCM	20-180-00
192	SPO-all-DCM-0-8-5-00_bin-332	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae		Chlorodendrales	Chlorodendraceae	Picochlorum		SPO-all	DCM	0-8-5-00
193	SPO-all-SRF-0-8-5-00_bin-633	Viridiplantae	core chlorophytes	Chlorophyta	Chlorophyceae		Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas		SPO-all	SRF	0-8-5-00
194	SPO-SPSG-DCM-20-180-00_bin-32	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	Formicidae			SPO-SPSG	DCM	20-180-00
195	SAO-all-SRF-20-180-00_bin-59	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera				SAO-all	SRF	20-180-00
196	MS-all-SRF-20-180-00_bin-18	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	SRF	20-180-00
