ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
MS-all-SRF-0-8-5-00_bin-123	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	MS-all	SRF	0-8-5-00
SPO-all-SRF-5-20-00_bin-152	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	.	.	.	SPO-all	SRF	5-20-00
NAO-all-DCM-0-8-5-00_bin-13	.	.	Proteobacteria	Deltaproteobacteria	.	Myxococcales	Archangiaceae	Myxococcus	Cystobacter fuscus	NAO-all	DCM	0-8-5-00
SPO-SPSG-DCM-5-20-00_bin-1	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae	.	Chlorodendrales	Chlorodendraceae	Picochlorum	.	SPO-SPSG	DCM	5-20-00
NPO-all-SRF-20-180-00_bin-86	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	20-180-00
SAO-all-DCM-0-8-5-00_bin-564	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SAO-all	DCM	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-69	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
MS-all-SRF-0-8-5-00_bin-580	.	Prymnesiophyceae	Haptista	Haptophyta	.	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	MS-all	SRF	0-8-5-00
NPO-all-DCM-0-8-5-00_bin-298	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Dolichomastix tenuilepis	NPO-all	DCM	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-130	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	20-180-00
IO-all-FSW-0-8-5-00_bin-83	Viridiplantae	core chlorophytes	Chlorophyta	Chlorodendrophyceae	.	Chlorodendrales	Chlorodendraceae	Tetraselmis	Tetraselmis striata	IO-all	FSW	0-8-5-00
NAO-all-MIX-180-2000-00_bin-9	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NAO-all	MIX	180-2000-00
MS-all-SRF-0-8-5-00_bin-298	Viridiplantae	core chlorophytes	Chlorophyta	Chlorophyceae	.	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	.	MS-all	SRF	0-8-5-00
MS-all-SRF-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	MS-all	SRF	20-180-00
SPO-all-SRF-20-180-00_bin-127	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-all	SRF	20-180-00
IO-all-SRF-0-8-5-00_bin-312	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	SRF	0-8-5-00
SPO-CHIL-SRF-0-8-5-00_bin-142	.	Sar	Bacillariophyta	Dictyochophyceae	.	Pedinellales	.	Florenciella	Pseudopedinella elastica	SPO-CHIL	SRF	0-8-5-00
IO-all-SRF-20-180-00_bin-40	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
NPO-all-SRF-0-8-5-00_bin-455	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	NPO-all	SRF	0-8-5-00
IO-all-DCM-0-8-5-00_bin-353	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	IO-all	DCM	0-8-5-00
MS-all-DCM-20-180-00_bin-15	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	MS-all	DCM	20-180-00
SO-all-DCM-0-8-5-00_bin-41	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	SO-all	DCM	0-8-5-00
SO-all-DCM-0-8-5-00_bin-36	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	SO-all	DCM	0-8-5-00
SAO-all-DCM-20-180-00_bin-23	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	DCM	20-180-00
NAO-all-MIX-0-8-5-00_bin-168	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	NAO-all	MIX	0-8-5-00
NAO-all-SRF-0-8-5-00_bin-167	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	NAO-all	SRF	0-8-5-00
NAO-all-DCM-0-8-5-00_bin-38	.	Sar	.	Dinophyceae	.	Suessiales	Symbiodiniaceae	Symbiodinium	Symbiodinium sp.	NAO-all	DCM	0-8-5-00
NPO-all-SRF-20-180-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NPO-all	SRF	20-180-00
SPO-SPSG-SRF-20-180-00_bin-188	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	20-180-00
SPO-CHIL-DCM-20-180-00_bin-3	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-CHIL	DCM	20-180-00
MS-all-DCM-180-2000-00_bin-45	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae	Anopheles	.	MS-all	DCM	180-2000-00
SPO-all-SRF-180-2000-00_bin-151	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-all	SRF	180-2000-00
SAO-all-MES-0-8-5-00_bin-99	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SAO-all	MES	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-191	.	Sar	.	Bigyra	Labyrinthulomycetes	Thraustochytrida	Thraustochytriaceae	Aplanochytrium	Aplanochytrium stocchinoi	SAO-all	DCM	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-182	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	20-180-00
IO-all-DCM-5-20-00_bin-2	.	Sar	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Conticribra weissflogii	IO-all	DCM	5-20-00
IO-all-DCM-0-8-5-00_bin-120	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda	IO-all	DCM	0-8-5-00
IO-all-DCM-0-8-5-00_bin-157	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	DCM	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-217	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-SPSG	SRF	0-8-5-00
SO-all-SRF-0-8-5-00_bin-97	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	.	SO-all	SRF	0-8-5-00
NPO-all-SRF-20-180-00_bin-43	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NPO-all	SRF	20-180-00
SPO-all-SRF-180-2000-00_bin-17	Metazoa	Opisthokonta	Arthropoda	Branchiopoda	Phyllopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulex	SPO-all	SRF	180-2000-00
SPO-SPSG-SRF-0-8-5-00_bin-151	Viridiplantae	core chlorophytes	Chlorophyta	Chlorodendrophyceae	.	Chlorodendrales	Chlorodendraceae	Tetraselmis	.	SPO-SPSG	SRF	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-190	.	Sar	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira oceanica	SPO-all	SRF	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-343	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SAO-all	DCM	0-8-5-00
RS-all-SRF-20-180-00_bin-29	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	RS-all	SRF	20-180-00
SPO-all-SRF-0-8-5-00_bin-880	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-all	SRF	0-8-5-00
NAO-all-SRF-180-2000-00_bin-49	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae	.	.	NAO-all	SRF	180-2000-00
SAO-all-DCM-20-180-00_bin-11	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SAO-all	DCM	20-180-00
SPO-all-SRF-0-8-5-00_bin-449	.	Amoebozoa	Discosea	Flabellinia	.	Longamoebia	Vannellidae	Vannella	Acanthamoeba castellanii	SPO-all	SRF	0-8-5-00
IO-all-SRF-0-8-5-00_bin-250	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	IO-all	SRF	0-8-5-00
SPO-SPSG-SRF-180-2000-00_bin-159	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	180-2000-00
NPO-all-MES-0-8-5-00_bin-198	Fungi	Opisthokonta	Ascomycota	Leotiomycetes	.	Helotiales	Mollisiaceae	Rhynchosporium	Rhynchosporium commune	NPO-all	MES	0-8-5-00
NPO-all-MES-0-8-5-00_bin-101	.	Sar	.	Bigyra	Labyrinthulomycetes	Bicosoecida	Cafeteriaceae	Cafeteria	Cafeteria roenbergensis	NPO-all	MES	0-8-5-00
NPO-all-DCM-20-180-00_bin-47	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	DCM	20-180-00
SPO-SPSG-SRF-180-2000-00_bin-69	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	180-2000-00
SPO-all-SRF-0-8-5-00_bin-394	.	Sar	.	Dinophyceae	.	Gymnodiniales	Kareniaceae	Karenia	Karenia brevis	SPO-all	SRF	0-8-5-00
SAO-all-SRF-0-8-5-00_bin-195	.	Sar	Bacillariophyta	Dictyochophyceae	.	Florenciellales	.	Florenciella	Florenciella parvula	SAO-all	SRF	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-94	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	.	.	.	SPO-SPSG	SRF	20-180-00
NPO-all-SRF-0-8-5-00_bin-329	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	NPO-all	SRF	0-8-5-00
SAO-all-SRF-0-8-5-00_bin-171	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SAO-all	SRF	0-8-5-00
NAO-all-DCM-0-8-5-00_bin-77	Fungi	Opisthokonta	Ascomycota	Leotiomycetes	.	Helotiales	Mollisiaceae	Rhynchosporium	Rhynchosporium commune	NAO-all	DCM	0-8-5-00
NPO-all-SRF-180-2000-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	180-2000-00
SPO-all-SRF-0-8-5-00_bin-737	.	Sar	Bacillariophyta	Dictyochophyceae	.	Pedinellales	.	Florenciella	Florenciella parvula	SPO-all	SRF	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-129	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-SPSG	SRF	20-180-00
SAO-all-DCM-0-8-5-00_bin-62	Viridiplantae	.	Chlorophyta	Pyramimonadophyceae	.	Pyramimonadales	Pyramimonadaceae	Pyramimonas	Pyramimonas obovata	SAO-all	DCM	0-8-5-00
SO-all-DCM-180-2000-00_bin-14	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SO-all	DCM	180-2000-00
SPO-all-SRF-20-180-00_bin-12	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	.	.	.	SPO-all	SRF	20-180-00
SPO-CHIL-SRF-20-180-00_bin-16	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-CHIL	SRF	20-180-00
RS-all-SRF-180-2000-00_bin-9	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	RS-all	SRF	180-2000-00
IO-all-SRF-5-20-00_bin-121	.	Sar	Bacillariophyta	Bacillariophyceae	.	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium	IO-all	SRF	5-20-00
MS-all-DCM-0-8-5-00_bin-10	.	.	.	Cryptophyceae	.	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	MS-all	DCM	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-658	.	.	.	Cryptophyceae	.	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SPO-SPSG	SRF	0-8-5-00
SPO-PEOD-SRF-0-8-5-00_bin-91	Viridiplantae	.	Chlorophyta	.	.	.	Pycnococcaceae	Pycnococcus	.	SPO-PEOD	SRF	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-113	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
MS-all-SRF-180-2000-00_bin-8	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	SRF	180-2000-00
SPO-SPSG-SRF-20-180-00_bin-164	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
SPO-all-SRF-180-2000-00_bin-153	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
SAO-all-SRF-0-8-5-00_bin-506	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SAO-all	SRF	0-8-5-00
NAO-all-SRF-0-8-5-00_bin-528	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	NAO-all	SRF	0-8-5-00
SPO-all-DCM-0-8-5-00_bin-206	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	.	SPO-all	DCM	0-8-5-00
SAO-all-SRF-0-8-5-00_bin-141	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	.	SAO-all	SRF	0-8-5-00
RS-all-SRF-180-2000-00_bin-3	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	RS-all	SRF	180-2000-00
NPO-all-SRF-20-180-00_bin-41	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	20-180-00
SPO-CHIL-SRF-0-8-5-00_bin-249	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SPO-CHIL	SRF	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-440	.	.	.	Cryptophyceae	.	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SAO-all	DCM	0-8-5-00
NAO-all-MIX-0-8-5-00_bin-117	Metazoa	Opisthokonta	Chordata	Choanoflagellata	.	Craspedida	Salpingoecidae	Salpingoeca	Salpingoeca rosetta	NAO-all	MIX	0-8-5-00
SPO-CHIL-DCM-180-2000-00_bin-3	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-CHIL	DCM	180-2000-00
MS-all-DCM-20-180-00_bin-84	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	MS-all	DCM	20-180-00
SO-all-DCM-0-8-5-00_bin-49	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	SO-all	DCM	0-8-5-00
RS-all-SRF-20-180-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	RS-all	SRF	20-180-00
IO-all-DCM-20-180-00_bin-74	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	DCM	20-180-00
SPO-all-SRF-20-180-00_bin-125	Viridiplantae	core chlorophytes	Chlorophyta	Trebouxiophyceae	.	.	.	Picochlorum	.	SPO-all	SRF	20-180-00
SPO-all-DCM-0-8-5-00_bin-542	.	Sar	Bacillariophyta	Bolidophyceae	Thalassiosirophycidae	Parmales	Triparmaceae	Bolidomonas	Triparma pacifica	SPO-all	DCM	0-8-5-00
NAO-all-SRF-0-8-5-00_bin-316	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	NAO-all	SRF	0-8-5-00
NAO-all-SRF-20-180-00_bin-39	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NAO-all	SRF	20-180-00
SPO-all-SRF-20-180-00_bin-158	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-all	SRF	20-180-00
SPO-SPSG-SRF-5-20-00_bin-21	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-SPSG	SRF	5-20-00
SPO-PEOD-MES-0-8-5-00_bin-17	Fungi	Opisthokonta	Ascomycota	Leotiomycetes	.	Helotiales	Hyaloscyphaceae	Rhynchosporium	Rhynchosporium commune	SPO-PEOD	MES	0-8-5-00
IO-all-SRF-0-8-5-00_bin-260	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	SRF	0-8-5-00
SPO-SPSG-SRF-180-2000-00_bin-187	Metazoa	Opisthokonta	Chordata	Aves	.	Passeriformes	.	.	.	SPO-SPSG	SRF	180-2000-00
NAO-all-SRF-20-180-00_bin-44	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NAO-all	SRF	20-180-00
SO-all-DCM-0-8-5-00_bin-34	.	Prymnesiophyceae	Haptista	Haptophyta	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	SO-all	DCM	0-8-5-00
NAO-all-SRF-180-2000-00_bin-73	Metazoa	Opisthokonta	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	Crassostrea	Crassostrea virginica	NAO-all	SRF	180-2000-00
IO-all-DCM-0-8-5-00_bin-351	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	DCM	0-8-5-00
NPO-all-SRF-5-20-00_bin-47	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	NPO-all	SRF	5-20-00
NAO-all-SRF-5-20-00_bin-26	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	NAO-all	SRF	5-20-00
MS-all-SRF-0-8-5-00_bin-405	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis	MS-all	SRF	0-8-5-00
IO-all-SRF-0-8-5-00_bin-126	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	IO-all	SRF	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-78	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Hymenoptera	.	.	.	SPO-SPSG	SRF	20-180-00
IO-all-DCM-5-20-00_bin-11	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	IO-all	DCM	5-20-00
SPO-SPSG-SRF-20-180-00_bin-96	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
NAO-all-SRF-0-8-5-00_bin-120	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	Alexandrium tamarense	NAO-all	SRF	0-8-5-00
SO-all-SRF-0-8-5-00_bin-43	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	.	SO-all	SRF	0-8-5-00
SPO-all-SRF-20-180-00_bin-214	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	SPO-all	SRF	20-180-00
NPO-all-SRF-20-180-00_bin-73	Viridiplantae	.	Chlorophyta	.	.	.	Pycnococcaceae	Pycnococcus	.	NPO-all	SRF	20-180-00
SPO-all-SRF-0-8-5-00_bin-305	Fungi	Opisthokonta	Ascomycota	Sordariomycetes	Hypocreomycetidae	Hypocreales	Nectriaceae	Acremonium	Acremonium chrysogenum	SPO-all	SRF	0-8-5-00
NPO-all-DCM-20-180-00_bin-38	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	DCM	20-180-00
IO-all-SRF-5-20-00_bin-60	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	IO-all	SRF	5-20-00
SPO-SPSG-SRF-180-2000-00_bin-16	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-SPSG	SRF	180-2000-00
SAO-all-DCM-0-8-5-00_bin-60	.	Prymnesiophyceae	Haptista	Haptophyta	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica	SAO-all	DCM	0-8-5-00
IO-all-SRF-20-180-00_bin-115	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
SPO-all-SRF-20-180-00_bin-160	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-all	SRF	20-180-00
SPO-SPSG-SRF-5-20-00_bin-80	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae	.	.	SPO-SPSG	SRF	5-20-00
SPO-SPSG-SRF-5-20-00_bin-108	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-SPSG	SRF	5-20-00
RS-all-SRF-20-180-00_bin-21	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	RS-all	SRF	20-180-00
SPO-all-SRF-180-2000-00_bin-318	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-all	SRF	180-2000-00
IO-all-SRF-180-2000-00_bin-21	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	180-2000-00
IO-all-SRF-180-2000-00_bin-56	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	IO-all	SRF	180-2000-00
MS-all-DCM-20-180-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	MS-all	DCM	20-180-00
SAO-all-DCM-20-180-00_bin-13	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SAO-all	DCM	20-180-00
MS-all-SRF-20-180-00_bin-80	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	MS-all	SRF	20-180-00
IO-all-SRF-0-8-5-00_bin-252	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Dolichomastigales	Mamiellaceae	Micromonas	Dolichomastix tenuilepis	IO-all	SRF	0-8-5-00
SPO-all-SRF-180-2000-00_bin-68	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-all	SRF	180-2000-00
NPO-all-SRF-20-180-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	NPO-all	SRF	20-180-00
MS-all-SRF-5-20-00_bin-10	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	SRF	5-20-00
SPO-CHIL-SRF-180-2000-00_bin-57	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-CHIL	SRF	180-2000-00
SAO-all-SRF-0-8-5-00_bin-465	.	Prymnesiophyceae	Haptista	Haptophyta	.	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi	SAO-all	SRF	0-8-5-00
SPO-CHIL-SRF-180-2000-00_bin-20	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-CHIL	SRF	180-2000-00
IO-all-SRF-180-2000-00_bin-7	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	Culicidae	Anopheles	.	IO-all	SRF	180-2000-00
SPO-all-SRF-0-8-5-00_bin-664	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-all	SRF	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-100	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-SPSG	SRF	20-180-00
SPO-SPSG-SRF-20-180-00_bin-177	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-SPSG	SRF	20-180-00
NPO-all-DCM-20-180-00_bin-13	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NPO-all	DCM	20-180-00
NAO-all-MES-0-8-5-00_bin-73	Fungi	Opisthokonta	Basidiomycota	Microbotryomycetes	.	Sporidiobolales	Sporidiobolaceae	Leucosporidium	Leucosporidium creatinivorum	NAO-all	MES	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-59	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
SPO-all-DCM-180-2000-00_bin-43	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	.	.	.	.	SPO-all	DCM	180-2000-00
