ID	kingdom	clade	phylum	class	subclass	order	family	genus	species	region	depth	size_fraction
IO-all-SRF-20-180-00_bin-109	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	IO-all	SRF	20-180-00
SPO-SPSG-DCM-20-180-00_bin-25	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	SPO-SPSG	DCM	20-180-00
NAO-all-MIX-0-8-5-00_bin-96	Viridiplantae	core chlorophytes	Chlorophyta	.	.	.	Pycnococcaceae	Pycnococcus	.	NAO-all	MIX	0-8-5-00
NAO-all-SRF-5-20-00_bin-30	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NAO-all	SRF	5-20-00
MS-all-DCM-180-2000-00_bin-14	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	DCM	180-2000-00
RS-all-SRF-0-8-5-00_bin-32	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	RS-all	SRF	0-8-5-00
SPO-SPSG-SRF-5-20-00_bin-72	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	5-20-00
IO-all-SRF-20-180-00_bin-66	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	IO-all	SRF	20-180-00
IO-all-SRF-0-8-5-00_bin-349	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	IO-all	SRF	0-8-5-00
IO-all-SRF-180-2000-00_bin-40	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	IO-all	SRF	180-2000-00
NAO-all-SRF-180-2000-00_bin-57	Metazoa	Opisthokonta	Mollusca	Bivalvia	Autobranchia	Ostreida	Ostreidae	Crassostrea	Crassostrea virginica	NAO-all	SRF	180-2000-00
SAO-all-MES-0-8-5-00_bin-134	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus	SAO-all	MES	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-807	.	.	Proteobacteria	Deltaproteobacteria	.	Myxococcales	Archangiaceae	Myxococcus	Cystobacter fuscus	SPO-all	SRF	0-8-5-00
SPO-SPSG-DCM-0-8-5-00_bin-173	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos	SPO-SPSG	DCM	0-8-5-00
SAO-all-DCM-0-8-5-00_bin-320	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla	SAO-all	DCM	0-8-5-00
NPO-all-SRF-20-180-00_bin-1	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	NPO-all	SRF	20-180-00
SPO-all-DCM-0-8-5-00_bin-566	Viridiplantae	.	Chlorophyta	.	.	.	Pycnococcaceae	Pycnococcus	.	SPO-all	DCM	0-8-5-00
IO-all-SRF-20-180-00_bin-82	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	IO-all	SRF	20-180-00
NAO-all-SRF-20-180-00_bin-84	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	NAO-all	SRF	20-180-00
SAO-all-SRF-0-8-5-00_bin-266	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.	SAO-all	SRF	0-8-5-00
MS-all-SRF-0-8-5-00_bin-250	.	Sar	Bacillariophyta	Dictyochophyceae	.	Pedinellales	.	Florenciella	Pseudopedinella elastica	MS-all	SRF	0-8-5-00
MS-all-SRF-180-2000-00_bin-26	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	MS-all	SRF	180-2000-00
SPO-SPSG-SRF-0-8-5-00_bin-379	Viridiplantae	core chlorophytes	Chlorophyta	Chlorophyceae	.	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	.	SPO-SPSG	SRF	0-8-5-00
MS-all-DCM-5-20-00_bin-19	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	MS-all	DCM	5-20-00
MS-all-SRF-0-8-5-00_bin-161	.	Sar	Bacillariophyta	Chrysophyceae	.	Chromulinales	Chromulinaceae	Ochromonas	Paraphysomonas bandaiensis	MS-all	SRF	0-8-5-00
SPO-all-SRF-5-20-00_bin-110	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	SPO-all	SRF	5-20-00
IO-all-SRF-0-8-5-00_bin-538	.	Sar	Bacillariophyta	Bacillariophyceae	.	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca closterium	IO-all	SRF	0-8-5-00
NPO-all-DCM-0-8-5-00_bin-249	.	Sar	Bacillariophyta	Mediophyceae	Cymatosirophycidae	Cymatosirales	Cymatosiraceae	Extubocellulus	Extubocellulus spinifer	NPO-all	DCM	0-8-5-00
SPO-SPSG-SRF-20-180-00_bin-178	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis	SPO-SPSG	SRF	20-180-00
SAO-all-SRF-0-8-5-00_bin-484	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'	SAO-all	SRF	0-8-5-00
SPO-PEOD-DCM-20-180-00_bin-4	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.	SPO-PEOD	DCM	20-180-00
IO-all-SRF-20-180-00_bin-131	.	Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Rhabdonellidae	Schmidingerella	Schmidingerella taraikaensis	IO-all	SRF	20-180-00
SAO-all-SRF-0-8-5-00_bin-583	.	Sar	Bacillariophyta	Dictyochophyceae	.	Pedinellales	.	Florenciella	Pteridomonas danica	SAO-all	SRF	0-8-5-00
SPO-SPSG-SRF-0-8-5-00_bin-290	.	Sar	Bacillariophyta	Dictyochophyceae	.	Pedinellales	.	Florenciella	Pteridomonas danica	SPO-SPSG	SRF	0-8-5-00
NAO-all-MIX-0-8-5-00_bin-192	.	Sar	Bacillariophyta	Dictyochophyceae	.	Florenciellales	.	Florenciella	.	NAO-all	MIX	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-226	.	.	.	Cryptophyceae	.	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila	SPO-all	SRF	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-515	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Prymnesiaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-all	SRF	0-8-5-00
SPO-all-SRF-0-8-5-00_bin-835	.	Prymnesiophyceae	Haptista	Haptophyta	.	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis	SPO-all	SRF	0-8-5-00
IO-all-SRF-180-2000-00_bin-72	Metazoa	Opisthokonta	Chordata	Aves	.	.	.	.	.	IO-all	SRF	180-2000-00
