ID	kingdom	clade	phylum	class	subclass	order	family	genus	species
TARA_ARC_108_MAG_00138	.	.	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Skeletonemataceae	Skeletonema	Skeletonema costatum
TARA_AON_82_MAG_00324	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_SOC_28_MAG_00077	.	.	Bacillariophyta	Coscinodiscophyceae	Chaetocerotophycidae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros neogracilis
TARA_AON_82_MAG_00160	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.
TARA_ARC_108_MAG_00320	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Haptolina	Chrysochromulina rotalis
TARA_ARC_108_MAG_00260	Metazoa	Opisthokonta	Chordata	Choanoflagellata	.	Acanthoecida	Acanthoecidae	Acanthoeca	Salpingoeca rosetta
TARA_SOC_28_MAG_00073	.	Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Rhabdonellidae	Schmidingerella	Schmidingerella taraikaensis
Metagenome_centric_SAG_TOSAG00_13	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.
TARA_PSW_86_MAG_00311	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_MED_95_MAG_00490	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_ION_45_MAG_00146	.	.	Bacillariophyta	Coscinodiscophyceae	Coscinodiscophycidae	Melosirales	Stephanopyxidaceae	Stephanopyxis	Stephanopyxis turris
TARA_IOS_50_MAG_00164	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_MED_95_MAG_00216	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Dolichomastigales	Mamiellaceae	Dolichomastix	Dolichomastix tenuilepis
TARA_PSW_86_MAG_00302	.	.	.	Haptophyceae	.	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina rotalis
TARA_SOC_28_MAG_00069	.	.	Bacillariophyta	Dictyochophyceae	.	Florenciellales	.	Florenciella	Florenciella parvula
TARA_MED_95_MAG_00444	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Haptolina	Chrysochromulina rotalis
TARA_ARC_108_MAG_00287	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_AOS_82_MAG_00180	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_ARC_108_MAG_00297	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_PSE_93_MAG_00224	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium polylepis
TARA_ARC_108_MAG_00165	.	.	Bacillariophyta	Fragilariophyceae	Fragilariophycidae	Fragilariales	Fragilariaceae	Synedropsis	Synedropsis cf. recta
TARA_AON_82_MAG_00338	.	.	Bacillariophyta	Mediophyceae	Cymatosirophycidae	Cymatosirales	Cymatosiraceae	Minutocellus	Minutocellus polymorphus
Metagenome_centric_SAG_TOSAG41_19	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.
TARA_IOS_50_MAG_00115	.	.	Bacillariophyta	Bacillariophyceae	.	Bacillariales	Bacillariaceae	Pseudo-nitzschia	Pseudo-nitzschia fraudulenta
TARA_AOS_82_MAG_00183	.	.	.	Haptophyceae	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica
TARA_MED_95_MAG_00390	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
TARA_PSE_93_MAG_00223	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_SOC_28_MAG_00080	.	Sar	Ciliophora	Spirotrichea	Choreotrichia	Tintinnida	Oxytrichidae	Schmidingerella	Schmidingerella taraikaensis
TARA_MED_95_MAG_00448	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_ARC_108_MAG_00266	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.
TARA_ARC_108_MAG_00314	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium polylepis
TARA_PSW_86_MAG_00289	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
TARA_ARC_108_MAG_00263	.	.	.	Pelagophyceae	.	Pelagomonadales	.	Pelagococcus	Pelagococcus subviridis
TARA_ARC_108_MAG_00254	Metazoa	Opisthokonta	Arthropoda	Insecta	Pterygota	Diptera	.	.	.
TARA_SOC_28_MAG_00068	.	.	Bacillariophyta	Labyrinthulomycetes	.	.	Thraustochytriaceae	Aplanochytrium	Schizochytrium aggregatum
TARA_ION_45_MAG_00147	.	Sar	.	Bigyra	.	Bicosoecida	Cafeteriaceae	Cafeteria	Cafeteria roenbergensis
TARA_AON_82_MAG_00313	.	Sar	.	Dinophyceae	.	Gonyaulacales	Gonyaulacaceae	Alexandrium	Lingulodinium polyedra
TARA_AON_82_MAG_00337	.	.	.	Haptophyceae	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica
TARA_PSE_93_MAG_00219	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium polylepis
TARA_ION_45_MAG_00168	.	.	.	Haptophyceae	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica
TARA_ION_45_MAG_00163	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Dolichomastigales	Dolichomastigaceae	Dolichomastix	Dolichomastix tenuilepis
TARA_AOS_82_MAG_00188	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_PSE_93_MAG_00246	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_MED_95_MAG_00515	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Prymnesium	Prymnesium polylepis
TARA_PSE_93_MAG_00141	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Dolichomastigales	Mamiellaceae	Dolichomastix	Dolichomastix tenuilepis
TARA_ION_45_MAG_00194	.	.	.	Chrysophyceae	.	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Paraphysomonas bandaiensis
TARA_MED_95_MAG_00501	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_MED_95_MAG_00459	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_ARC_108_MAG_00229	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_IOS_50_MAG_00146	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
Metagenome_centric_SAG_TOSAG00_1	.	Sar	Bacillariophyta	Dictyochophyceae	.	Pedinellales	.	Florenciella	Pteridomonas danica
