old_mag_name	new_mag_name
IO-all-SRF-180-2000-00_bin-83	TOPAZ_IOS4_E013
IO-all-SRF-180-2000-00_bin-90	TOPAZ_IOS4_E014
IO-all-SRF-180-2000-00_bin-96	TOPAZ_IOS4_E015
IO-all-DCM-20-180-00_bin-103	TOPAZ_IOD3_E001
IO-all-DCM-20-180-00_bin-105	TOPAZ_IOD3_E002
IO-all-DCM-20-180-00_bin-109	TOPAZ_IOD3_E003
IO-all-DCM-20-180-00_bin-117	TOPAZ_IOD3_E004
IO-all-DCM-20-180-00_bin-38	TOPAZ_IOD3_E005
IO-all-DCM-20-180-00_bin-48	TOPAZ_IOD3_E006
IO-all-DCM-20-180-00_bin-49	TOPAZ_IOD3_E007
IO-all-DCM-20-180-00_bin-54	TOPAZ_IOD3_E008
IO-all-DCM-20-180-00_bin-57	TOPAZ_IOD3_E009
IO-all-DCM-20-180-00_bin-62	TOPAZ_IOD3_E010
IO-all-DCM-20-180-00_bin-66	TOPAZ_IOD3_E011
IO-all-DCM-20-180-00_bin-74	TOPAZ_IOD3_E012
IO-all-DCM-20-180-00_bin-84	TOPAZ_IOD3_E013
IO-all-DCM-20-180-00_bin-97	TOPAZ_IOD3_E014
IO-all-SRF-20-180-00_bin-10	TOPAZ_IOS3_E001
IO-all-SRF-20-180-00_bin-109	TOPAZ_IOS3_E002
IO-all-SRF-20-180-00_bin-115	TOPAZ_IOS3_E003
IO-all-SRF-20-180-00_bin-119	TOPAZ_IOS3_E004
IO-all-SRF-20-180-00_bin-121	TOPAZ_IOS3_E005
IO-all-SRF-20-180-00_bin-128	TOPAZ_IOS3_E006
IO-all-SRF-20-180-00_bin-131	TOPAZ_IOS3_E007
IO-all-SRF-20-180-00_bin-144	TOPAZ_IOS3_E008
IO-all-SRF-20-180-00_bin-23	TOPAZ_IOS3_E009
IO-all-SRF-20-180-00_bin-26	TOPAZ_IOS3_E010
IO-all-SRF-20-180-00_bin-30	TOPAZ_IOS3_E011
IO-all-SRF-20-180-00_bin-36	TOPAZ_IOS3_E012
IO-all-SRF-20-180-00_bin-38	TOPAZ_IOS3_E013
IO-all-SRF-20-180-00_bin-40	TOPAZ_IOS3_E014
IO-all-SRF-20-180-00_bin-43	TOPAZ_IOS3_E015
IO-all-SRF-20-180-00_bin-53	TOPAZ_IOS3_E016
IO-all-SRF-20-180-00_bin-66	TOPAZ_IOS3_E017
IO-all-SRF-20-180-00_bin-67	TOPAZ_IOS3_E018
IO-all-SRF-20-180-00_bin-71	TOPAZ_IOS3_E019
IO-all-SRF-20-180-00_bin-73	TOPAZ_IOS3_E020
IO-all-SRF-20-180-00_bin-79	TOPAZ_IOS3_E021
IO-all-SRF-20-180-00_bin-82	TOPAZ_IOS3_E022
IO-all-SRF-20-180-00_bin-89	TOPAZ_IOS3_E023
IO-all-SRF-20-180-00_bin-92	TOPAZ_IOS3_E024
IO-all-SRF-20-180-00_bin-97	TOPAZ_IOS3_E025
IO-all-DCM-5-20-00_bin-11	TOPAZ_IOD2_E001
IO-all-DCM-5-20-00_bin-2	TOPAZ_IOD2_E002
IO-all-SRF-5-20-00_bin-101	TOPAZ_IOS2_E001
IO-all-SRF-5-20-00_bin-121	TOPAZ_IOS2_E002
IO-all-SRF-5-20-00_bin-128	TOPAZ_IOS2_E003
IO-all-SRF-5-20-00_bin-49	TOPAZ_IOS2_E004
IO-all-SRF-5-20-00_bin-60	TOPAZ_IOS2_E005
IO-all-SRF-5-20-00_bin-65	TOPAZ_IOS2_E006
IO-all-SRF-5-20-00_bin-71	TOPAZ_IOS2_E007
IO-all-SRF-5-20-00_bin-74	TOPAZ_IOS2_E008
MS-all-DCM-0-8-5-00_bin-10	TOPAZ_MSD1_E001
MS-all-DCM-0-8-5-00_bin-147	TOPAZ_MSD1_E002
MS-all-DCM-0-8-5-00_bin-224	TOPAZ_MSD1_E003
MS-all-DCM-0-8-5-00_bin-256	TOPAZ_MSD1_E004
MS-all-DCM-0-8-5-00_bin-257	TOPAZ_MSD1_E005
MS-all-DCM-0-8-5-00_bin-273	TOPAZ_MSD1_E006
MS-all-DCM-0-8-5-00_bin-290	TOPAZ_MSD1_E007
MS-all-DCM-0-8-5-00_bin-318	TOPAZ_MSD1_E008
MS-all-DCM-0-8-5-00_bin-320	TOPAZ_MSD1_E009
MS-all-DCM-0-8-5-00_bin-322	TOPAZ_MSD1_E010
MS-all-DCM-0-8-5-00_bin-323	TOPAZ_MSD1_E011
MS-all-DCM-0-8-5-00_bin-366	TOPAZ_MSD1_E012
MS-all-DCM-0-8-5-00_bin-442	TOPAZ_MSD1_E013
MS-all-DCM-0-8-5-00_bin-53	TOPAZ_MSD1_E014
MS-all-DCM-0-8-5-00_bin-612	TOPAZ_MSD1_E015
MS-all-DCM-0-8-5-00_bin-636	TOPAZ_MSD1_E016
MS-all-DCM-0-8-5-00_bin-676	TOPAZ_MSD1_E017
MS-all-DCM-0-8-5-00_bin-94	TOPAZ_MSD1_E018
MS-all-SRF-0-8-5-00_bin-123	TOPAZ_MSS1_E001
MS-all-SRF-0-8-5-00_bin-125	TOPAZ_MSS1_E002
